character,dialogue,next_line
HAN,not if i can help it. chewie... jam it's transmissions. [EOL],it'd
BEN,it'd be as well to let it go. it's too far out of range. [EOL],not
HAN,not for long... [EOL],a
BEN,a fighter that size couldn't get this deep into space on its own. [EOL],then
LUKE,"then he must have gotten lost, been part of a convoy or something... [EOL]","well,"
HAN,"well, he ain't going to be around long enough to tell anyone about us. [EOL]",look
LUKE,look at him. he's heading for that small moon. [EOL],i
HAN,i think i can get him before he gets there... he's almost in range. [EOL],that's
BEN,that's no moon! it's a space station. [EOL],it's
HAN,it's too big to be a space station. [EOL],i
LUKE,i have a very bad feeling about this. [EOL],turn
BEN,turn the ship around! [EOL],"yeah,"
HAN,"yeah, i think your right. full reverse! chewie, lock in the auxiliary power. [EOL]",why
LUKE,why are we still moving towards it? [EOL],we're
HAN,we're caught in a tractor beam! it's pulling us in! [EOL],but
LUKE,but there's gotta be something you can do! [EOL],there's
HAN,"there's nothin' i can do about it, kid. i'm in full power. i'm going to have to shut down. but they're not going to get me without a fight! [EOL]",you
BEN,you can't win. but there are alternatives to fighting. [EOL],clear
VOICE OVER DEATH STAR INTERCOM,clear bay twenty-three-seven. we are opening the magnetic field. [EOL],to
OFFICER,to your stations! [EOL],come
OFFICER,come with me. [EOL],close
OFFICER,close all outboard shields! close all outboard shields! [EOL],we've
VOICE,we've captured a freighter entering the remains of the alderaan system. it's markings match those of a ship that blasted its way out of mos eisley. [EOL],they
VADER,they must be trying to return the stolen plans to the princess. she may yet be of some use to us. [EOL],unlock
VOICE,unlock one-five-seven and nine. release charges. [EOL],there's
OFFICER,"there's no one on board, sir. according to the log, the crew abandoned ship right after takeoff. it must be a decoy, sir. several of the escape pods have been jettisoned. [EOL]",did
VADER,did you find any droids? [EOL],"no,"
OFFICER,"no, sir. if there were any on board, they must also have jettisoned. [EOL]",send
VADER,send a scanning crew on board. i want every part of this ship checked. [EOL],i
VADER,i sense something... a presence i haven't felt since... [EOL],get
OFFICER,get me a scanning crew in here on the double. i want every part of this ship checked! [EOL],"boy,"
LUKE,"boy, it's lucky you had these compartments. [EOL]",i
HAN,"i use them for smuggling. i never thought i'd be smuggling myself in them. this is ridiculous. even if i could take off, i'd never get past the tractor beam. [EOL]",leave
BEN,leave that to me! [EOL],damn
HAN,damn fool. i knew that you were going to say that! [EOL],who's
BEN,who's the more foolish... the fool or the fool who follows him? [EOL],the
TROOPER,"the ship's all yours. if the scanners pick up anything, report it immediately. all right, let's go. [EOL]",hey
HAN,"hey down there, could you give us a hand with this? [EOL]",tx-four-one-two.
GANTRY OFFICER,"tx-four-one-two. why aren't you at your post? tx-four-one-two, do you copy? [EOL]",take
GANTRY OFFICER,take over. we've got a bad transmitter. i'll see what i can do. [EOL],you
LUKE,"you know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here. [EOL]",bring
HAN,bring them on! i prefer a straight fight to all this sneaking around. [EOL],we
THREEPIO,"we found the computer outlet, sir. [EOL]",plug
BEN,plug in. he should be able to interpret the entire imperial computer network. [EOL],he
THREEPIO,he says he's found the main control to the power beam that's holding the ship here. he'll try to make the precise location appear on the monitor. [EOL],the
THREEPIO,the tractor beam is coupled to the main reactor in seven locations. a power loss at one of the terminals will allow the ship to leave. [EOL],i
BEN,i don't think you boys can help. i must go alone. [EOL],whatever
HAN,whatever you say. i've done more than i bargained for on this trip already. [EOL],i
LUKE,i want to go with you. [EOL],be
BEN,"be patient, luke. stay and watch over the droids. [EOL]",but
LUKE,but he can... [EOL],they
BEN,they must be delivered safely or other star systems will suffer the same fate as alderaan. your destiny lies along a different path from mine. the force will be with you... always! [EOL],boy
HAN,"boy you said it, chewie. [EOL]",where
HAN,where did you dig up that old fossil? [EOL],ben
LUKE,ben is a great man. [EOL],"yeah,"
HAN,"yeah, great at getting us into trouble. [EOL]",i
LUKE,i didn't hear you give any ideas... [EOL],"well,"
HAN,"well, anything would be better than just hanging around waiting for them to pick us up... [EOL]",who
LUKE,who do you think... [EOL],i'm
THREEPIO,"i'm afraid i'm not quite sure, sir. he says \""i found her,\"" and keepsrepeating, \""she's here.\"" [EOL]","well,"
LUKE,"well, who... who has he found? [EOL]",princess
THREEPIO,princess leia. [EOL],the
LUKE,the princess? she's here? [EOL],princess?
HAN,princess? [EOL],where...
LUKE,where... where is she? [EOL],princess?
HAN,princess? what's going on? [EOL],level
THREEPIO,level five. detention block aa-twenty-three. i'm afraid she's scheduled to be terminated. [EOL],"oh,"
LUKE,"oh, no! we've got to do something. [EOL]",the
LUKE,the droid belongs to her. she's the one in the message. we've got to help her. [EOL],"now,"
HAN,"now, look, don't get any funny ideas. the old man wants us to wait right here. [EOL]",but
LUKE,"but he didn't know she was here. look, will you just find a way back into the detention block? [EOL]",i'm
HAN,i'm not going anywhere. [EOL],they're
LUKE,"they're going to execute her. look, a few minutes ago you said you didn't want to just wait here to be captured. now all you want to do is stay. [EOL]",marching
HAN,marching into the detention area is not what i had in mind. [EOL],but
LUKE,but they're going to kill her! [EOL],better
HAN,better her than me... [EOL],she's
LUKE,she's rich. [EOL],rich?
HAN,rich? [EOL],yes.
LUKE,"yes. rich, powerful! listen, if you were to rescue her, the reward would be... [EOL]",well
LUKE,well more wealth that you can imagine. [EOL],i
HAN,"i don't know, i can imagine quite a bit! [EOL]",you'll
LUKE,you'll get it! [EOL],i
HAN,i better! [EOL],you
LUKE,you will... [EOL],all
HAN,"all right, kid. but you'd better be right about this! [EOL]",all
LUKE,all right. [EOL],what's
HAN,what's your plan? [EOL],uh...
LUKE,"uh... threepio, hand me those binders there will you? [EOL]",okay.
LUKE,"okay. now, i'm going to put these on you. [EOL]",okay.
LUKE,"okay. han, you put these on. [EOL]",don't
HAN,"don't worry, chewie. i think i know what he has in mind. [EOL]",master
THREEPIO,"master luke, sir! pardon me for asking... but, ah... what should artoo and i do if we're discovered here? [EOL]",lock
LUKE,lock the door! [EOL],and
HAN,and hope they don't have blasters. [EOL],that
THREEPIO,that isn't very reassuring. [EOL],i
LUKE,i can't see a thing in this helmet. [EOL],this
HAN,this is not going to work. [EOL],why
LUKE,why didn't you say so before? [EOL],i
HAN,i did say so before! [EOL],where
OFFICER,where are you taking this... thing? [EOL],prisoner
LUKE,prisoner transfer from block one-one-three-eight. [EOL],i
OFFICER,i wasn't notified. i'll have to clear it. [EOL],look
HAN,look out! he's loose! [EOL],he's
LUKE,he's going to pull us all apart. [EOL],go
HAN,go get him! [EOL],we've
HAN,we've got to find out which cell this princess of yours is in. here it is... cell twenty-one-eight-seven. you go get her. i'll hold them here. [EOL],everything
HAN,everything is under control. situation normal. [EOL],uh...
HAN,"uh... had a slight weapons malfunction. but, uh, everything's perfectly all right now. we're fine. we're all fine here, now, thank you. how are you? [EOL]",we're
INTERCOM VOICE,we're sending a squad up. [EOL],"uh,"
HAN,"uh, uh, negative, negative. we had a reactor leak here now. give us a few minutes to lock it down. large leak... very dangerous. [EOL]",who
INTERCOM VOICE,who is this? what's your operating number? [EOL],boring
HAN,boring conversation anyway.luke! we're going to have company! [EOL],aren't
LEIA,aren't you a little short for a stormtrooper? [EOL],what?
LUKE,what? oh... the uniform. i'm luke skywalker. i'm here to rescue you. [EOL],you're
LEIA,you're who? [EOL],i'm
LUKE,i'm here to rescue you. i've got your r2 unit. i'm here with ben kenobi. [EOL],ben
LEIA,ben kenobi is here! where is he? [EOL],come
LUKE,come on! [EOL],he
VADER,he is here... [EOL],obi-wan
TARKIN,obi-wan kenobi! what makes you think so? [EOL],a
VADER,a tremor in the force. the last time i felt it was in the presence of my old master. [EOL],surely
TARKIN,surely he must be dead by now. [EOL],don't
VADER,don't underestimate the force. [EOL],the
TARKIN,"the jedi are extinct, their fire has gone out of the universe. you, my friend, are all that's left of their religion. [EOL]",governor
INTERCOM VOICE,"governor tarkin, we have an emergency alert in detention block aa-twenty-three. [EOL]",the
TARKIN,the princess! put all sections on alert! [EOL],obi-wan
VADER,obi-wan is here. the force is with him. [EOL],if
TARKIN,"if you're right, he must not be allowed to escape. [EOL]",escape
VADER,escape may not his plan. i must face him alone. [EOL],chewie!
HAN,chewie! [EOL],get
HAN,get behind me! get behind me! [EOL],can't
HAN,can't get out that way. [EOL],looks
LEIA,looks like you managed to cut off our only escape route. [EOL],maybe
HAN,"maybe you'd like it back in your cell, your highness. [EOL]",see-threepio!
LUKE,see-threepio! see-threepio! [EOL],yes
THREEPIO,yes sir? [EOL],we've
LUKE,we've been cut off! are there any other ways out of the cell bay?...what was that? i didn't copy! [EOL],i
THREEPIO,"i said, all systems have been alerted to your presence, sir. the main entrance seems to be the only way out; all other information on your level is restricted. [EOL]",open
TROOPER VOICE,open up in there! [EOL],there
LUKE,there isn't any other way out. [EOL],i
HAN,i can't hold them off forever! now what? [EOL],this
LEIA,"this is some rescue. when you came in here, didn't you have a plan for getting out? [EOL]",he's
HAN,"he's the brains, sweetheart. [EOL]","well,"
LUKE,"well, i didn't... [EOL]",what
HAN,what the hell are you doing? [EOL],somebody
LEIA,"somebody has to save our skins. into the garbage chute, wise guy. [EOL]",get
HAN,get in there you big furry oaf! i don't care what you smell! get in there and don't worry about it. [EOL],wonderful
HAN,wonderful girl! either i'm going to kill her or i'm beginning to like her. get in there! [EOL],oh!
HAN,oh! the garbage chute was a really wonderful idea. what an incredible smell you've discovered! let's get out of here! get away from there... [EOL],no!
LUKE,no! wait! [EOL],will
LUKE,will you forget it? i already tried it. it's magnetically sealed! [EOL],put
LEIA,put that thing away! you're going to get us all killed. [EOL],"absolutely,"
HAN,"absolutely, your worship. look, i had everything under control until you led us down here. you know, it's not going to take them long to figure out what happened to us. [EOL]",it
LEIA,it could be worse... [EOL],it's
HAN,it's worse. [EOL],there's
LUKE,there's something alive in here! [EOL],that's
HAN,that's your imagination. [EOL],something
LUKE,something just moves past my leg! look! did you see that? [EOL],help!
LUKE,help! [EOL],luke!
HAN,luke! luke! luke! [EOL],luke!
LEIA,luke! [EOL],"luke,"
LEIA,"luke, luke, grab a hold of this. [EOL]",blast
LUKE,"blast it, will you! my gun's jammed. [EOL]",where?
HAN,where? [EOL],anywhere!
LUKE,anywhere! oh!! [EOL],luke!
HAN,luke! luke! [EOL],grab
LEIA,grab him! [EOL],i
LUKE,"i don't know, it just let go of me and disappeared... [EOL]",i've
HAN,i've got a very bad feeling about this. [EOL],the
LUKE,the walls are moving! [EOL],don't
LEIA,don't just stand there. try and brace it with something. [EOL],wait
LUKE,wait a minute! [EOL],threepio!
LUKE,threepio! come in threepio! threepio! where could he be? [EOL],take
FIRST TROOPER,take over!see to him! look there! [EOL],they're
THREEPIO,"they're madmen! they're heading for the prison level. if you hurry, you might catch them. [EOL]",follow
FIRST OFFICER,follow me! you stand guard. [EOL],oh!
THREEPIO,"oh! all this excitement has overrun the circuits of my counterpart here. if you don't mind, i'd like to take him down to maintenance. [EOL]",threepio!
LUKE,"threepio! come in, threepio! threepio! [EOL]",get
HAN,get to the top! [EOL],i
LEIA,i can't [EOL],where
LUKE,"where could he be? threepio! threepio, will you come in? [EOL]",they
THREEPIO,they aren't here! something must have happened to them. see if they've been captured. [EOL],hurry!
THREEPIO,hurry! [EOL],one
HAN,one thing's for sure. we're all going to be a lot thinner!get on top of it! [EOL],i'm
LEIA,i'm trying! [EOL],thank
THREEPIO,"thank goodness, they haven't found them! where could they be? [EOL]",use
THREEPIO,"use the comlink? oh, my! i forgot i turned it off! [EOL]",are
THREEPIO,"are you there, sir? [EOL]",threepio!
LUKE,threepio! [EOL],we've
THREEPIO,we've had some problems... [EOL],shut
LUKE,"shut down all the garbage mashers on the detention level, will you? do you copy? [EOL]",shut
LUKE,shut down all the garbage mashers on the detention level. [EOL],no.
THREEPIO,no. shut them all down! hurry! [EOL],listen
THREEPIO,"listen to them! they're dying, artoo! curse my metal body! i wasn't fast enough. it's all my fault! my poor master! [EOL]","threepio,"
LUKE,"threepio, we're all right! [EOL]",we're
LUKE,we're all right. you did great. [EOL],hey...
LUKE,"hey... hey, open the pressure maintenance hatch on unit number... where are we? [EOL]",three-two-six-eight-two-seven.
HAN,three-two-six-eight-two-seven. [EOL],if
HAN,"if we can just avoid any more female advice, we ought to be able to get out of here. [EOL]","well,"
LUKE,"well, let's get moving! [EOL]","no,"
LEIA,"no, wait. they'll hear! [EOL]",come
HAN,"come here, you big coward! [EOL]",chewie!
HAN,chewie! come here! [EOL],listen.
LEIA,"listen. i don't know who you are, or where you came from, but from now on, you do as i tell you. okay? [EOL]","look,"
HAN,"look, your worshipfulness, let's get one thing straight! i takeorders from one person! me! [EOL]",it's
LEIA,it's a wonder you're still alive.will somebody get this big walking carpet out of my way? [EOL],no
HAN,no reward is worth this. [EOL],secure
OFFICER,secure this area until the alert is canceled. [EOL],give
FIRST TROOPER,give me regular reports. [EOL],do
FIRST TROOPER,do you know what's going on? [EOL],maybe
SECOND TROOPER,maybe it's another drill. [EOL],what
SECOND TROOPER,what was that? [EOL],"oh,"
FIRST TROOPER,"oh, it's nothing. don't worry about it. [EOL]",there
HAN,there she is. [EOL],"see-threepio,"
LUKE,"see-threepio, do you copy? [EOL]",for
THREEPIO,"for the moment. uh, we're in the main hangar across from the ship. [EOL]",we're
LUKE,we're right above you. stand by. [EOL],you
LEIA,you came in that thing? you're braver that i thought. [EOL],nice!
HAN,nice! come on! [EOL],it's
FIRST TROOPER,it's them! blast them! [EOL],get
HAN,get back to the ship! [EOL],where
LUKE,where are you going? come back! [EOL],he
LEIA,he certainly has courage. [EOL],what
LUKE,what good will it do us if he gets himself killed? come on! [EOL],i
LUKE,i think we took a wrong turn. [EOL],there's
LEIA,there's no lock! [EOL],that
LUKE,that oughta hold it for a while. [EOL],"quick,"
LEIA,"quick, we've got to get across. find the control that extends the bridge. [EOL]","oh,"
LUKE,"oh, i think i just blasted it. [EOL]",they're
LEIA,they're coming through! [EOL],"here,"
LUKE,"here, hold this. [EOL]",here
LEIA,here they come! [EOL],for
LEIA,for luck! [EOL],where
THREEPIO,where could they be? [EOL],close
TROOPER,close the blast doors! [EOL],open
TROOPER,open the blast doors! open the blast doors! [EOL],i've
VADER,"i've been waiting for you, obi-wan. we meet again, at last. the circle is now complete. [EOL]",when
VADER,"when i left you, i was but the learner; now i am the master. [EOL]",only
BEN,"only a master of evil, darth. [EOL]",your
VADER,"your powers are weak, old man. [EOL]",you
BEN,"you can't win, darth. if you strike me down, i shall become more powerful than you can possibly imagine. [EOL]",didn't
HAN,didn't we just leave this party? [EOL],what
HAN,what kept you? [EOL],we
LEIA,we ran into some old friends. [EOL],is
LUKE,is the ship all right? [EOL],seems
HAN,"seems okay, if we can get to it.just hope the old man got the tractor beam out of commission. [EOL]",look!
LUKE,look! [EOL],come
THREEPIO,"come on, artoo, we're going! [EOL]",now's
HAN,now's our chance! go! [EOL],come
LEIA,"come on! luke, its too late! [EOL]",blast
HAN,blast the door! kid! [EOL],"run,"
BEN,"run, luke! run! [EOL]",i
HAN,"i hope the old man got that tractor beam out if commission, or this is going to be a real short trip. okay, hit it! [EOL]",we're
HAN,we're coming up on the sentry ships. hold 'em off! angle the deflector shields while i charge up the main guns! [EOL],i
LUKE,i can't believe he's gone. [EOL],there
LEIA,there wasn't anything you could have done. [EOL],come
HAN,"come on, buddy, we're not out of this yet! [EOL]",you
HAN,"you in, kid? okay, stay sharp! [EOL]",they're
LUKE,they're coming in too fast! [EOL],oooh!
THREEPIO,oooh! [EOL],we've
LEIA,we've lost lateral controls. [EOL],don't
HAN,"don't worry, she'll hold together. [EOL]",you
HAN,"you hear me, baby? hold together! [EOL]",got
LUKE,got him! i got him! [EOL],great
HAN,great kid! don't get cocky. [EOL],there
LEIA,there are still two more of them out there! [EOL],that's
LUKE,that's it! we did it! [EOL],we
LEIA,we did it! [EOL],help!
THREEPIO,help! i think i'm melting!this is all your fault. [EOL],are
TARKIN,are they away? [EOL],they
VADER,they have just made the jump into hyperspace. [EOL],you're
TARKIN,"you're sure the homing beacon is secure aboard their ship? i'm taking an awful risk, vader. this had better work. [EOL]",not
HAN,"not a bad bit of rescuing, huh? you know, sometimes i even amaze myself. [EOL]",that
LEIA,"that doesn't sound too hard. besides, they let us go. it's the only explanation for the ease of our escape. [EOL]",easy...
HAN,easy... you call that easy? [EOL],their
LEIA,their tracking us! [EOL],not
HAN,"not this ship, sister. [EOL]",at
LEIA,at least the information in artoo is still intact. [EOL],what's
HAN,what's so important? what's he carrying? [EOL],the
LEIA,"the technical readouts of that battle station. i only hope that when the data is analyzed, a weakness can be found. it's not over yet! [EOL]",it
HAN,"it is for me, sister! look, i ain't in this for your revolution, and i'm not in it for you, princess. i expect to be well paid. i'm in it for the money! [EOL]",you
LEIA,"you needn't worry about your reward. if money is all that you love, then that's what you'll receive! [EOL]",your
LEIA,your friend is quite a mercenary. i wonder if he really cares about anything... or anyone. [EOL],i
LUKE,i care! [EOL],so...
LUKE,"so... what do you think of her, han? [EOL]",i'm
HAN,"i'm trying not to, kid! [EOL]",good...
LUKE,good... [EOL],"still,"
HAN,"still, she's got a lot of spirit. i don't know, what do you think? do you think a princess and a guy like me... [EOL]",you're
WILLARD,you're safe! we had feared the worst. [EOL],when
WILLARD,"when we heard about alderaan, we were afraid that you were... lost along with your father. [EOL]",we
LEIA,"we don't have time for our sorrows, commander. the battle station has surely tracked us here.it's the only explanation for the ease of our escape. you must use the information in this r2 unit to plan the attack. it is our only hope. [EOL]",we
DEATH STAR INTERCOM VOICE,we are approaching the planet yavin. the rebel base is on a moon on the far side. we are preparing to orbit the planet. [EOL],the
DODONNA,the battle station is heavily shielded and carries a firepower greater than half the star fleet.its defenses are designed around a direct large-scale assault. a small one-man fighter should be able to penetrate the outer defense. [EOL],pardon
GOLD LEADER,"pardon me for asking, sir, but what good are snub fighters going to be against that? [EOL]","well,"
DODONNA,"well, the empire doesn't consider a small one-man fighter to be any threat, or they'd have a tighter defense. an analysis of the plans provided by princess leia has demonstrated a weakness in the battle station. [EOL]",the
DODONNA,"the approach will not be easy. you are required to maneuver straight down this trench and skim the surface to this point. the target area is only two meters wide. it's a small thermal exhaust port, right below the main port. the shaft leads directly to the reactor system. a precise hit will start a chain reaction which should destroy the station. [EOL]",only
DODONNA,"only a precise hit will set up a chain reaction. the shaft is ray-shielded, so you'll have to use proton torpedoes. [EOL]",that's
WEDGE,"that's impossible, even for a computer. [EOL]",it's
LUKE,it's not impossible. i used to bullseye womp rats in my t-sixteen back home. they're not much bigger than two meters. [EOL],man
DODONNA,man your ships! and may the force be with you! [EOL],orbiting
DEATH STAR INTERCOM VOICE,orbiting the planet at maximum velocity. the moon with the rebel base will be in range in thirty minutes. [EOL],this
VADER,this will be a day long remembered. it has seen the end of kenobi and it will soon see the end of the rebellion. [EOL],all
MAN,"all flight troops, man your stations. all flight troops, man your stations. [EOL]",so...
LUKE,so... you got your reward and you're just leaving then? [EOL],that's
HAN,"that's right, yeah! i got some old debts i've got to pay off with this stuff. even if i didn't, you don't think i'd be fool enough to stick around here, do you? why don't you come with us? you're pretty good in a fight. i could use you. [EOL]",come
LUKE,"come on! why don't you take a look around? you know what's about to happen, what they're up against. they could use a good pilot like you. you're turning your back on them. [EOL]",what
HAN,"what good's a reward if you ain't around to use it? besides, attacking that battle station ain'tmy idea of courage. it's more like suicide. [EOL]",all
LUKE,"all right. well, take care of yourself, han... guess that's what you're best at, isn't it? [EOL]","hey,"
HAN,"hey, luke... may the force be with you! [EOL]",what're
HAN,what're you lookin' at? i know what i'm doing. [EOL],what's
LEIA,what's wrong? [EOL],"oh,"
LUKE,"oh, it's han! i don't know, i really thought he'd change his mind. [EOL]",he's
LEIA,he's got to follow his own path. no one can choose it for him. [EOL],i
LUKE,i only wish ben were here. [EOL],luke!
BIGGS,luke! i don't believe it! how'd you get here... are you going out with us?! [EOL],biggs!
LUKE,"biggs! of course, i'll be up there with you! listen, have i got some stories to tell... [EOL]",are
RED LEADER,are you... luke skywalker? have you been checked out on the incom t-sixty-five? [EOL],"sir,"
BIGGS,"sir, luke is the best bushpilot in the outer rim territories. [EOL]",i
RED LEADER,"i met your father once when i was just a boy. he was a great pilot. you'll do all right. if you've got half of your father's skill, you'll do better than all right. [EOL]",thank
LUKE,"thank you, sir. i'll try. [EOL]",i've
BIGGS,"i've got to get aboard. listen, you'll tell me your stories when we come back. all right? [EOL]",i
LUKE,"i told you i'd make it someday, biggs. [EOL]",you
BIGGS,"you did, all right. it's going to be like old times luke. we're a couple of shooting stars that'll never be stopped! [EOL]",this
CHIEF,this r2 unit of your seems a bit beat up. do you want a new one? [EOL],not
LUKE,"not on your life! that little droid and i have been through a lot together.you okay, artoo? [EOL]","okay,"
CHIEF,"okay, easy she goes! [EOL]",hang
THREEPIO,"hang on tight, artoo, you've got to come back. [EOL]",you
THREEPIO,"you wouldn't want my life to get boring, would you? [EOL]","luke,"
BEN,"luke, the force will be with you. [EOL]",stand-by
MASSASSI INTERCOM VOICE,"stand-by alert. death star approaching. estimated time to firing range, fifteen minutes. [EOL]",all
RED LEADER,all wings report in. [EOL],red
RED TEN,red ten standing by. [EOL],red
RED SEVEN,red seven standing by. [EOL],red
BIGGS,red three standing by. [EOL],red
PORKINS,red six standing by. [EOL],red
RED NINE,red nine standing by. [EOL],red
WEDGE,red two standing by. [EOL],red
RED ELEVEN,red eleven standing by. [EOL],red
LUKE,red five standing by. [EOL],lock
RED LEADER,lock s-foils in attack position. [EOL],we're
RED LEADER,we're passing through their magnetic field. [EOL],hold
RED LEADER,hold tight! [EOL],switch
RED LEADER,switch your deflectors on. [EOL],double
RED LEADER,double front! [EOL],look
WEDGE,look at the size of that thing! [EOL],cut
RED LEADER,"cut the chatter, red two. [EOL]",accelerate
RED LEADER,"accelerate to attack speed. this is it, boys! [EOL]",red
GOLD LEADER,"red leader, this is gold leader. [EOL]",i
RED LEADER,"i copy, gold leader. [EOL]",we're
GOLD LEADER,we're starting for the target shaft now. [EOL],we're
RED LEADER,we're in position. i'm going to cut across the axis and try and draw their fire. [EOL],heavy
WEDGE,"heavy fire, boss! twenty-threedegrees. [EOL]",i
RED LEADER,i see it. stay low. [EOL],this
LUKE,this is red five! i'm going in! [EOL],"luke,"
BIGGS,"luke, pull up! [EOL]",are
BIGGS,are you all right? [EOL],i
LUKE,"i got a little cooked, but i'm okay. [EOL]",we
ASTRO-OFFICER,"we count thirty rebel ships, lord vader. but they're so small they're evading our turbo-lasers! [EOL]",we'll
VADER,we'll have to destroy them ship to ship. get the crews to their fighters. [EOL],"luke,"
RED LEADER,"luke, let me know when you're going in. [EOL]",i'm
LUKE,i'm on my way in now... [EOL],watch
RED LEADER,watch yourself! there's a lot of fire coming from the right side of that deflection tower. [EOL],i'm
LUKE,i'm on it. [EOL],squad
CONTROL OFFICER,"squad leaders, we've picked up a new group of signals. enemy fighters coming your way. [EOL]",my
LUKE,my scope's negative. i don't see anything. [EOL],keep
RED LEADER,"keep up your visual scanning. with all this jamming, they'll be on top of you before your scope can pick them up. [EOL]",biggs!
RED LEADER,biggs! you've picked one up... watch it! [EOL],i
BIGGS,i can't see it! where is he?! [EOL],he's
BIGGS,"he's on me tight, i can't shake him... i can't shake him. [EOL]",hang
LUKE,"hang on, biggs, i'm coming in. [EOL]",got
LUKE,got him! [EOL],several
VADER,several fighters have broken off from the main group. come with me! [EOL],pull
BIGGS,pull in! luke... pull in! [EOL],watch
WEDGE,"watch your back, luke! [EOL]",watch
WEDGE,"watch your back! fighter's above you, coming in! [EOL]",i'm
LUKE,"i'm hit, but not bad. [EOL]","artoo,"
LUKE,"artoo, see what you can do with it. hang on back there. [EOL]",red
RED LEADER,red six... [EOL],can
RED LEADER,can you see red five? [EOL],there's
RED TEN,"there's a heavy fire zone on this side. red five, where are you? [EOL]",i
LUKE,i can't shake him! [EOL],i'm
WEDGE,"i'm on him, luke! [EOL]",hold
WEDGE,hold on! [EOL],blast
LUKE,blast it! wedge where are you? [EOL],"thanks,"
LUKE,"thanks, wedge. [EOL]",good
BIGGS,"good shooting, wedge! [EOL]",red
GOLD LEADER,red leader... [EOL],...
GOLD LEADER,... this is gold leader. we're starting out attack run. [EOL],i
RED LEADER,"i copy, gold leader. move into position. [EOL]",stay
VADER,stay in attack formation! [EOL],the
GOLD LEADER,the exhaust post is... [EOL],...
GOLD LEADER,... marked and locked in! [EOL],switch
GOLD LEADER,switch power to front deflection screens. [EOL],how
GOLD LEADER,"how many guns do you think, gold five? [EOL]",i'd
GOLD FIVE,"i'd say about twenty guns. some on the surface, some on the towers. [EOL]",death
MASSASSI INTERCOM VOICE,death star will be in range in five minutes. [EOL],switch
GOLD LEADER,switch to targeting computer. [EOL],computer's
GOLD TWO,computer's locked. getting a signal. [EOL],the
GOLD TWO,the guns... they've stopped! [EOL],stabilize
GOLD FIVE,stabilize your rear deflectors. watch for enemy fighters. [EOL],they've
GOLD LEADER,they've coming in! three marks at two ten. [EOL],i'll
VADER,i'll take them myself! cover me! [EOL],i
GOLD LEADER,i can't maneuver! [EOL],stay
GOLD FIVE,stay on target. [EOL],we're
GOLD LEADER,we're too close. [EOL],stay
GOLD FIVE,stay on target! [EOL],loosen
GOLD LEADER,loosen up! [EOL],gold
GOLD FIVE,gold five to red leader... [EOL],lost
GOLD FIVE,"lost tiree, lost dutch. [EOL]",i
RED LEADER,"i copy, gold five. [EOL]",they
GOLD FIVE,they came from behind.... [EOL],we've
OFFICER,"we've analyzed their attack, sir, and there is a danger. should i have your ship standing by? [EOL]",evacuate?
TARKIN,evacuate? in out moment of triumph? i think you overestimate their chances! [EOL],rebel
VOICE,"rebel base, three minutes and closing. [EOL]",red
RED LEADER,"red group, this is red leader. [EOL]",rendezvous
RED LEADER,rendezvous at mark six point one. [EOL],this
WEDGE,this is red two. flying towards you. [EOL],red
BIGGS,"red three, standing by. [EOL]",red
DODONNA,"red leader, this is base one. keep half your group out of range for the next run. [EOL]","copy,"
RED LEADER,"copy, base one. luke, take red two and three. hold up here and wait for my signal... to start your run. [EOL]",this
RED LEADER,this is it! [EOL],we
RED TEN,we should be able to see it by now. [EOL],keep
RED LEADER,keep your eyes open for those fighters! [EOL],there's
RED TEN,there's too much interference! [EOL],red
RED TEN,"red five, can you see them from where you are? [EOL]",no
LUKE,no sign of any... wait! [EOL],coming
LUKE,coming in point three five. [EOL],i
RED TEN,i see them. [EOL],i'm
RED LEADER,i'm in range. [EOL],target's
RED LEADER,target's coming up! [EOL],just
RED LEADER,just hold them off for a few seconds. [EOL],close
VADER,close up formation. [EOL],almost
RED LEADER,almost there! [EOL],you'd
RED TEN,you'd better let her loose. [EOL],i
RED TEN,i can't hold them! [EOL],it's
RED LEADER,it's away! [EOL],it's
RED NINE,it's a hit! [EOL],negative.
RED LEADER,negative. [EOL],negative!
RED LEADER,"negative! it didn't go in, it just impacted on the surface. [EOL]",red
LUKE,"red leader, we're right above you. turn to point... [EOL]",...
LUKE,... oh-five; we'll cover for you. [EOL],stay
RED LEADER,stay there... [EOL],...
RED LEADER,... i just lost my starboard engine. [EOL],get
RED LEADER,get set up for your attack run. [EOL],rebel
DEATH STAR INTERCOM VOICE,"rebel base, one minute and closing. [EOL]","biggs,"
LUKE,"biggs, wedge, let's close it up. we're going in. we're going in full throttle. [EOL]",right
WEDGE,"right with you, boss. [EOL]","luke,"
BIGGS,"luke, at that speed will you be able to pull out in time? [EOL]",it'll
LUKE,it'll be just like beggar's canyon back home. [EOL],we'll
BIGGS,we'll stay back far enough to cover you. [EOL],my
WEDGE,"my scope shows the tower, but i can't see the exhaust port! are you sure the computer can hit it? [EOL]",watch
LUKE,watch yourself! increase speed full throttle! [EOL],what
WEDGE,what about that tower? [EOL],you
LUKE,you worry about those fighters! i'll worry about the tower! [EOL],artoo...
LUKE,"artoo... that, that stabilizer's broken loose again! see if you can't lock it down! [EOL]",i'm
WEDGE,i'm hit! i can't stay with you. [EOL],get
